ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2023-06-01 15:49:02 976m





Sample number Relative time HS4D-50(28994).Ch1
  s V
0 0 1.2260343
1 2E-8 0.12613522
2 4E-8 1.1695257
3 6E-8 -0.44601412
4 8E-8 -0.4803229
5 1E-7 -0.12008073
6 1.2E-7 -0.098890009
7 1.4E-7 0.31281533
8 1.6E-7 -0.34813319
9 1.8E-7 0.29667003
10 2E-7 -0.24520686
11 2.2E-7 0.016145308
12 2.4E-7 0.08779011
13 2.6E-7 -0.066599394
14 2.8E-7 0.091826437
15 3E-7 -0.03531786
16 3.2E-7 0.026236125
17 3.4E-7 -0.025227043
18 3.6E-7 0.048435923
19 3.8E-7 0.0060544903
20 4E-7 0.047426841
21 4.2E-7 0.014127144
22 4.4E-7 0.032290615
23 4.6E-7 0.021190716
24 4.8E-7 0.021190716
25 5E-7 0.016145308
26 5.2E-7 0.014127144
27 5.4E-7 0.026236125
28 5.6E-7 0.014127144
29 5.8E-7 0.032290615
30 6E-7 0.02320888
31 6.2E-7 0.020181634
32 6.4E-7 0.014127144
33 6.6E-7 0.012108981
34 6.8E-7 -0.032290615
35 7E-7 0.069626639
36 7.2E-7 0.083753783
37 7.4E-7 -0.15943491
38 7.6E-7 0.15035318
39 7.8E-7 0.13319879
40 8E-7 -0.20787083
41 8.2E-7 0.21594349
42 8.4E-7 0.014127144
43 8.6E-7 -0.0030272452
44 8.8E-7 0.02926337
45 9E-7 0.041372351
46 9.2E-7 0.018163471
47 9.4E-7 0.041372351
48 9.6E-7 0.031281533
49 9.8E-7 0.036326942
50 1E-6 0.0060544903
51 1.02E-6 0.012108981
52 1.04E-6 0.030272452
53 1.06E-6 0.03531786
54 1.08E-6 0.030272452
55 1.1E-6 0.027245207
56 1.12E-6 0.018163471
57 1.14E-6 0.018163471
58 1.16E-6 0.0080726538
59 1.18E-6 0.033299697
60 1.2E-6 0.028254288
61 1.22E-6 0.016145308
62 1.24E-6 0.025227043
63 1.26E-6 0.016145308
64 1.28E-6 0.026236125
65 1.3E-6 0.027245207
66 1.32E-6 0.017154389
67 1.34E-6 0.021190716
68 1.36E-6 0.0080726538
69 1.38E-6 0.022199798
70 1.4E-6 0.019172553
71 1.42E-6 0.021190716
72 1.44E-6 0.027245207
73 1.46E-6 0.015136226
74 1.48E-6 0.020181634
75 1.5E-6 0.021190716
76 1.52E-6 0.019172553
77 1.54E-6 0.028254288
78 1.56E-6 0.0090817355
79 1.58E-6 0.021190716
80 1.6E-6 0.012108981
81 1.62E-6 0.017154389
82 1.64E-6 0.017154389
83 1.66E-6 0.021190716
84 1.68E-6 0.025227043
85 1.7E-6 0.021190716
86 1.72E-6 0.016145308
87 1.74E-6 0.016145308
88 1.76E-6 0.024217961
89 1.78E-6 0.028254288
90 1.8E-6 0.022199798
91 1.82E-6 0.022199798
92 1.84E-6 0.027245207
93 1.86E-6 0.013118062
94 1.88E-6 0.028254288
95 1.9E-6 0.026236125
96 1.92E-6 0.026236125
97 1.94E-6 0.02926337
98 1.96E-6 0.024217961
99 1.98E-6 0.021190716
100 2E-6 0.018163471
101 2.02E-6 0.021190716
102 2.04E-6 0.03531786
