ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2023-05-17 15:53:33 287m





Sample number Relative time HS4D-50(28994).Ch1
  s V
0 0 1.334006
1 2E-8 -0.55701311
2 4E-8 -0.68920282
3 6E-8 0.053481331
4 8E-8 -0.063572149
5 1E-7 -0.23511604
6 1.2E-7 0.19273461
7 1.4E-7 -0.2926337
8 1.6E-7 0.018163471
9 1.8E-7 0.075681129
10 2E-7 -0.076690211
11 2.2E-7 -0.073662966
12 2.4E-7 0.028254288
13 2.6E-7 0.0030272452
14 2.8E-7 -0.040363269
15 3E-7 -0.0030272452
16 3.2E-7 -0.0010090817
17 3.4E-7 0.0040363269
18 3.6E-7 0.0020181634
19 3.8E-7 -0.0080726538
20 4E-7 0.024217961
21 4.2E-7 0.0090817355
22 4.4E-7 -0.0080726538
23 4.6E-7 0.039354187
24 4.8E-7 0.019172553
25 5E-7 -0.021190716
26 5.2E-7 0.016145308
27 5.4E-7 0.025227043
28 5.6E-7 0.0060544903
29 5.8E-7 0.022199798
30 6E-7 0.012108981
31 6.2E-7 -0.0010090817
32 6.4E-7 0.014127144
33 6.6E-7 0.024217961
34 6.8E-7 -0.057517658
35 7E-7 0.12008073
36 7.2E-7 -0.025227043
37 7.4E-7 -0.011099899
38 7.6E-7 0.044399596
39 7.8E-7 -0.057517658
40 8E-7 0.063572149
41 8.2E-7 0.021190716
42 8.4E-7 0.010090817
43 8.6E-7 0.011099899
44 8.8E-7 0.017154389
45 9E-7 -0.014127144
46 9.2E-7 0.041372351
47 9.4E-7 0.015136226
48 9.6E-7 0.010090817
49 9.8E-7 0.022199798
50 1E-6 -0.0080726538
51 1.02E-6 0.017154389
52 1.04E-6 0.032290615
53 1.06E-6 0.010090817
54 1.08E-6 0.016145308
55 1.1E-6 0.015136226
56 1.12E-6 0.015136226
57 1.14E-6 0.016145308
58 1.16E-6 0.026236125
59 1.18E-6 0.019172553
60 1.2E-6 0.019172553
61 1.22E-6 0.015136226
62 1.24E-6 0.013118062
63 1.26E-6 0.013118062
64 1.28E-6 0.02320888
65 1.3E-6 0.019172553
66 1.32E-6 0.012108981
67 1.34E-6 0.015136226
68 1.36E-6 0.018163471
69 1.38E-6 0.014127144
70 1.4E-6 0.013118062
71 1.42E-6 0.014127144
72 1.44E-6 0.014127144
73 1.46E-6 0.014127144
74 1.48E-6 0.011099899
75 1.5E-6 0.010090817
76 1.52E-6 0.021190716
77 1.54E-6 0.020181634
78 1.56E-6 0.018163471
79 1.58E-6 0.019172553
80 1.6E-6 0.015136226
81 1.62E-6 0.021190716
82 1.64E-6 0.025227043
83 1.66E-6 0.020181634
84 1.68E-6 0.020181634
85 1.7E-6 0.02320888
86 1.72E-6 0.021190716
87 1.74E-6 0.024217961
88 1.76E-6 0.015136226
89 1.78E-6 0.022199798
90 1.8E-6 0.022199798
91 1.82E-6 0.02320888
92 1.84E-6 0.014127144
93 1.86E-6 0.018163471
94 1.88E-6 0.012108981
95 1.9E-6 0.016145308
96 1.92E-6 0.018163471
97 1.94E-6 0.012108981
98 1.96E-6 0.011099899
99 1.98E-6 0.013118062
100 2E-6 0.013118062
101 2.02E-6 0.013118062
