ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2023-05-16 15:46:26 503m





Sample number Relative time HS4D-50(28994).Ch1
  s V
0 0 2.2705941
1 2E-8 -0.84073889
2 4E-8 -1.4997504
3 6E-8 0.40539191
4 8E-8 -0.61507738
5 1E-7 0.41537694
6 1.2E-7 -0.64503245
7 1.4E-7 -0.077883175
8 1.6E-7 -0.065901148
9 1.8E-7 0.24762856
10 2E-7 -0.25761358
11 2.2E-7 -0.055916126
12 2.4E-7 0.0019970045
13 2.6E-7 0.023964054
14 2.8E-7 0.023964054
15 3E-7 0.011982027
16 3.2E-7 -0.0099850225
17 3.4E-7 -0.01797304
18 3.6E-7 0.077883175
19 3.8E-7 0.055916126
20 4E-7 0.053919121
21 4.2E-7 0.025961058
22 4.4E-7 0.051922117
23 4.6E-7 0.10783824
24 4.8E-7 0.025961058
25 5E-7 0.019970045
26 5.2E-7 0.073889166
27 5.4E-7 0.067898153
28 5.6E-7 0.061907139
29 5.8E-7 0.071892162
30 6E-7 0.03994009
31 6.2E-7 0.029955067
32 6.4E-7 0.071892162
33 6.6E-7 0.051922117
34 6.8E-7 -0.035946081
35 7E-7 0.20569146
36 7.2E-7 -0.077883175
37 7.4E-7 0.071892162
38 7.6E-7 0.11183225
39 7.8E-7 -0.061907139
40 8E-7 0.13979031
41 8.2E-7 0.069895157
42 8.4E-7 0.015976036
43 8.6E-7 0.069895157
44 8.8E-7 0.03994009
45 9E-7 0.055916126
46 9.2E-7 0.053919121
47 9.4E-7 0.089865202
48 9.6E-7 0.047928108
49 9.8E-7 0.043934099
50 1E-6 0.041937094
51 1.02E-6 0.061907139
52 1.04E-6 0.077883175
53 1.06E-6 0.059910135
54 1.08E-6 0.069895157
55 1.1E-6 0.059910135
56 1.12E-6 0.053919121
57 1.14E-6 0.069895157
58 1.16E-6 0.075886171
59 1.18E-6 0.065901148
60 1.2E-6 0.061907139
61 1.22E-6 0.05791313
62 1.24E-6 0.059910135
63 1.26E-6 0.05791313
64 1.28E-6 0.065901148
65 1.3E-6 0.061907139
66 1.32E-6 0.061907139
67 1.34E-6 0.055916126
68 1.36E-6 0.059910135
69 1.38E-6 0.053919121
70 1.4E-6 0.051922117
71 1.42E-6 0.055916126
72 1.44E-6 0.055916126
73 1.46E-6 0.051922117
74 1.48E-6 0.047928108
75 1.5E-6 0.045931103
76 1.52E-6 0.047928108
77 1.54E-6 0.049925112
78 1.56E-6 0.045931103
79 1.58E-6 0.035946081
80 1.6E-6 0.041937094
81 1.62E-6 0.041937094
82 1.64E-6 0.037943085
83 1.66E-6 0.033949076
84 1.68E-6 0.033949076
85 1.7E-6 0.033949076
86 1.72E-6 0.035946081
87 1.74E-6 0.037943085
88 1.76E-6 0.033949076
89 1.78E-6 0.029955067
90 1.8E-6 0.029955067
91 1.82E-6 0.029955067
92 1.84E-6 0.029955067
93 1.86E-6 0.029955067
94 1.88E-6 0.025961058
95 1.9E-6 0.025961058
96 1.92E-6 0.029955067
97 1.94E-6 0.027958063
98 1.96E-6 0.023964054
99 1.98E-6 0.023964054
100 2E-6 0.021967049
101 2.02E-6 0.021967049
102 2.04E-6 0.023964054
