ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2023-05-16 17:25:46 283m





Sample number Relative time HS4D-50(28994).Ch1
  s V
0 0 1.328008
1 2E-8 0.68696955
2 4E-8 -2.8037943
3 6E-8 -2.5381927
4 8E-8 -0.27358962
5 1E-7 -1.6475287
6 1.2E-7 1.0224663
7 1.4E-7 -2.7139291
8 1.6E-7 -0.40938592
9 1.8E-7 0.77483774
10 2E-7 -1.0504244
11 2.2E-7 -0.32151772
12 2.4E-7 -0.88067898
13 2.6E-7 0.57513729
14 2.8E-7 -0.4892661
15 3E-7 0.3115327
16 3.2E-7 -0.46530205
17 3.4E-7 -0.067898153
18 3.6E-7 0.09785322
19 3.8E-7 0.089865202
20 4E-7 0.28756865
21 4.2E-7 -0.17174239
22 4.4E-7 0.2656016
23 4.6E-7 0.065901148
24 4.8E-7 0.36145781
25 5E-7 -0.15177234
26 5.2E-7 0.25961058
27 5.4E-7 0.23564653
28 5.6E-7 0.14777833
29 5.8E-7 0.28956565
30 6E-7 0.065901148
31 6.2E-7 0.21367948
32 6.4E-7 0.081877184
33 6.6E-7 0.34548178
34 6.8E-7 -0.031952072
35 7E-7 0.23364953
36 7.2E-7 0.20768847
37 7.4E-7 -0.45931103
38 7.6E-7 1.1402896
39 7.8E-7 -0.62506241
40 8E-7 0.5312032
41 8.2E-7 0.081877184
42 8.4E-7 0.33549676
43 8.6E-7 -0.075886171
44 8.8E-7 0.3554668
45 9E-7 0.13579631
46 9.2E-7 0.095856216
47 9.4E-7 0.3554668
48 9.6E-7 0.07988018
49 9.8E-7 0.33549676
50 1E-6 0
51 1.02E-6 0.36545182
52 1.04E-6 0.14378432
53 1.06E-6 0.33150275
54 1.08E-6 0.18572142
55 1.1E-6 0.25761358
56 1.12E-6 0.28157763
57 1.14E-6 0.16575137
58 1.16E-6 0.3534698
59 1.18E-6 0.15976036
60 1.2E-6 0.30554169
61 1.22E-6 0.1757364
62 1.24E-6 0.30154768
63 1.26E-6 0.20369446
64 1.28E-6 0.23364953
65 1.3E-6 0.25361957
66 1.32E-6 0.19171243
67 1.34E-6 0.24762856
68 1.36E-6 0.16575137
69 1.38E-6 0.23964054
70 1.4E-6 0.15576635
71 1.42E-6 0.2236645
72 1.44E-6 0.18372441
73 1.46E-6 0.18771842
74 1.48E-6 0.1777334
75 1.5E-6 0.14378432
76 1.52E-6 0.1797304
77 1.54E-6 0.15376935
78 1.56E-6 0.16974538
79 1.58E-6 0.11982027
80 1.6E-6 0.14977534
81 1.62E-6 0.12780829
82 1.64E-6 0.14178732
83 1.66E-6 0.12581128
84 1.68E-6 0.11582626
85 1.7E-6 0.12381428
86 1.72E-6 0.10584124
87 1.74E-6 0.12181727
88 1.76E-6 0.095856216
89 1.78E-6 0.10783824
90 1.8E-6 0.095856216
91 1.82E-6 0.093859211
92 1.84E-6 0.089865202
93 1.86E-6 0.095856216
94 1.88E-6 0.089865202
95 1.9E-6 0.083874189
96 1.92E-6 0.09785322
97 1.94E-6 0.083874189
98 1.96E-6 0.081877184
99 1.98E-6 0.071892162
100 2E-6 0.067898153
101 2.02E-6 0.087868198
102 2.04E-6 0.077883175
