ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2023-06-01 14:33:21 086m





Sample number Relative time HS4D-50(28994).Ch1
  s V
0 0 0.28657921
1 2E-8 0.0040363269
2 4E-8 0.71039353
3 6E-8 0.57719475
4 8E-8 0.34611503
5 1E-7 -0.23612512
6 1.2E-7 -0.026236125
7 1.4E-7 -0.12815338
8 1.6E-7 0.17860747
9 1.8E-7 -0.13420787
10 2E-7 0.12815338
11 2.2E-7 -0.054490413
12 2.4E-7 -0.025227043
13 2.6E-7 0.067608475
14 2.8E-7 -0.016145308
15 3E-7 0.048435923
16 3.2E-7 0.025227043
17 3.4E-7 0.022199798
18 3.6E-7 0.019172553
19 3.8E-7 0.030272452
20 4E-7 0.028254288
21 4.2E-7 0.045408678
22 4.4E-7 0.031281533
23 4.6E-7 0.047426841
24 4.8E-7 0.038345105
25 5E-7 0.036326942
26 5.2E-7 0.031281533
27 5.4E-7 0.026236125
28 5.6E-7 0.040363269
29 5.8E-7 0.033299697
30 6E-7 0.039354187
31 6.2E-7 0.044399596
32 6.4E-7 0.028254288
33 6.6E-7 0.026236125
34 6.8E-7 0.030272452
35 7E-7 -0.0010090817
36 7.2E-7 0.0060544903
37 7.4E-7 0.16246216
38 7.6E-7 -0.11705348
39 7.8E-7 0.074672048
40 8E-7 0.18970736
41 8.2E-7 -0.20080726
42 8.4E-7 0.19475277
43 8.6E-7 0.043390514
44 8.8E-7 0.026236125
45 9E-7 0.018163471
46 9.2E-7 0.066599394
47 9.4E-7 0.017154389
48 9.6E-7 0.048435923
49 9.8E-7 0.047426841
50 1E-6 0.051463168
51 1.02E-6 0.016145308
52 1.04E-6 0.02926337
53 1.06E-6 0.040363269
54 1.08E-6 0.046417759
55 1.1E-6 0.030272452
56 1.12E-6 0.037336024
57 1.14E-6 0.031281533
58 1.16E-6 0.028254288
59 1.18E-6 0.028254288
60 1.2E-6 0.036326942
61 1.22E-6 0.040363269
62 1.24E-6 0.02320888
63 1.26E-6 0.037336024
64 1.28E-6 0.028254288
65 1.3E-6 0.033299697
66 1.32E-6 0.033299697
67 1.34E-6 0.027245207
68 1.36E-6 0.02926337
69 1.38E-6 0.02320888
70 1.4E-6 0.033299697
71 1.42E-6 0.033299697
72 1.44E-6 0.030272452
73 1.46E-6 0.033299697
74 1.48E-6 0.024217961
75 1.5E-6 0.024217961
76 1.52E-6 0.031281533
77 1.54E-6 0.028254288
78 1.56E-6 0.031281533
79 1.58E-6 0.025227043
80 1.6E-6 0.02320888
81 1.62E-6 0.022199798
82 1.64E-6 0.025227043
83 1.66E-6 0.02926337
84 1.68E-6 0.031281533
85 1.7E-6 0.028254288
86 1.72E-6 0.036326942
87 1.74E-6 0.032290615
88 1.76E-6 0.025227043
89 1.78E-6 0.034308779
90 1.8E-6 0.028254288
91 1.82E-6 0.036326942
92 1.84E-6 0.03531786
93 1.86E-6 0.030272452
94 1.88E-6 0.026236125
95 1.9E-6 0.032290615
96 1.92E-6 0.039354187
97 1.94E-6 0.031281533
98 1.96E-6 0.030272452
99 1.98E-6 0.02926337
100 2E-6 0.034308779
101 2.02E-6 0.032290615
102 2.04E-6 0.034308779
